# Spherical Bessel functions via up and down recursion
# x    d_rec    u_rec    gsl    relerr_ud   relerr_dg
1.357935             nan             nan             nan -1.53372377e+01 -1.48849400e+01
1.359835             nan             nan             nan -1.47692174e+01 -1.48718798e+01
1.361728             nan             nan             nan -1.58944788e+01            -inf
1.363612             nan             nan             nan -1.55237705e+01 -1.53988318e+01
1.365488             nan             nan             nan -1.57817640e+01 -1.53838240e+01
1.367356             nan             nan             nan -1.61481790e+01 -1.53700278e+01
1.369216             nan             nan             nan -1.62015033e+01 -1.52984133e+01
1.371068             nan             nan             nan -1.56434377e+01 -1.52454977e+01
1.372912             nan             nan             nan -1.53788583e+01 -1.53788583e+01
1.374748             nan             nan             nan            -inf -1.55339268e+01
1.376577             nan             nan             nan -1.57346919e+01 -1.54336619e+01
1.378398             nan             nan             nan -1.55784431e+01            -inf
1.380211             nan             nan             nan -1.60710303e+01 -1.55939090e+01
1.382017             nan             nan             nan -1.60824499e+01            -inf
1.383815             nan             nan             nan            -inf -1.52449589e+01
1.385606             nan             nan             nan -1.60940074e+01 -1.54919474e+01
1.387390             nan             nan             nan -1.60943904e+01 -1.54923304e+01
1.389166             nan             nan             nan -1.60912351e+01 -1.57902051e+01
1.390935             nan             nan             nan -1.57834820e+01 -1.53063607e+01
1.392697             nan             nan             nan -1.50327390e+01 -1.57731016e+01
1.394452             nan             nan             nan -1.54578785e+01 -1.54578785e+01
1.396199             nan             nan             nan -1.60416996e+01 -1.54396396e+01
1.397940             nan             nan             nan -1.60190871e+01 -1.55419659e+01
1.399674             nan             nan             nan -1.39234641e+01 -1.55145287e+01
1.401401             nan             nan             nan -1.40093807e+01 -1.56577407e+01
1.403121             nan             nan             nan -1.46408425e+01 -1.52663835e+01
1.404834             nan             nan             nan -1.56968313e+01 -1.52708626e+01
1.406540             nan             nan             nan            -inf -1.50766359e+01
1.408240             nan             nan             nan -1.49710042e+01 -1.50501855e+01
1.409933             nan             nan             nan -1.50118468e+01 -1.51209913e+01
1.411620             nan             nan             nan -1.51590484e+01            -inf
1.413300             nan             nan             nan -1.55340000e+01            -inf
1.414973             nan             nan             nan -1.47205303e+01 -1.43579823e+01
1.416641             nan             nan             nan -1.39755713e+01 -1.42969399e+01
1.418301 -2.67984942e+00 -2.67984942e+00 -2.67984942e+00 -1.45216123e+01 -1.39972386e+01
1.419956 -2.24390874e+00 -2.24390874e+00 -2.24390874e+00 -1.45278564e+01 -1.44754683e+01
1.421604 -2.03430264e+00 -2.03430264e+00 -2.03430264e+00 -1.55503758e+01 -1.47264671e+01
1.423246 -1.89708425e+00 -1.89708425e+00 -1.89708425e+00 -1.58636855e+01 -1.49094430e+01
1.424882 -1.79654974e+00 -1.79654974e+00 -1.79654974e+00            -inf -1.52652500e+01
1.426511 -1.71856711e+00 -1.71856711e+00 -1.71856711e+00 -1.52640514e+01 -1.49630214e+01
1.428135 -1.65609149e+00 -1.65609149e+00 -1.65609149e+00 -1.55026183e+01 -1.55026183e+01
1.429752 -1.60510902e+00 -1.60510902e+00 -1.60510902e+00 -1.55536007e+01 -1.58546307e+01
1.431364 -1.56312457e+00 -1.56312457e+00 -1.56312457e+00 -1.55955852e+01 -1.57205239e+01
1.432969 -1.52849091e+00 -1.52849091e+00 -1.52849091e+00            -inf -1.59312488e+01
1.434569 -1.50007365e+00 -1.50007365e+00 -1.50007365e+00            -inf -1.53576061e+01
1.436163 -1.47706899e+00 -1.47706899e+00 -1.47706899e+00 -1.56816408e+01 -1.59826708e+01
1.437751 -1.45889790e+00 -1.45889790e+00 -1.45889790e+00 -1.56998119e+01 -1.53987819e+01
1.439333 -1.44514185e+00 -1.44514185e+00 -1.44514185e+00            -inf -1.57135679e+01
1.440909 -1.43550245e+00 -1.43550245e+00 -1.43550245e+00 -1.54221773e+01 -1.57232073e+01
1.442480 -1.42977577e+00 -1.42977577e+00 -1.42977577e+00 -1.51268740e+01 -1.54279040e+01
1.444045 -1.42783626e+00 -1.42783626e+00 -1.42783626e+00 -1.60319035e+01 -1.57308735e+01
1.445604 -1.42962743e+00 -1.42962743e+00 -1.42962743e+00            -inf            -inf
1.447158 -1.43515778e+00 -1.43515778e+00 -1.43515778e+00 -1.55474607e+01            -inf
1.448706 -1.44450132e+00 -1.44450132e+00 -1.44450132e+00 -1.45838747e+01 -1.60152384e+01
1.450249 -1.45780272e+00 -1.45780272e+00 -1.45780272e+00 -1.44834231e+01 -1.60019370e+01
1.451786 -1.47528806e+00 -1.47528806e+00 -1.47528806e+00 -1.41782717e+01 -1.56834217e+01
1.453318 -1.49728274e+00 -1.49728274e+00 -1.49728274e+00 -1.46200343e+01 -1.59624570e+01
1.454845 -1.52423991e+00 -1.52423991e+00 -1.52423991e+00 -1.47451681e+01 -1.62365298e+01
1.456366 -1.55678529e+00 -1.55678529e+00 -1.55678529e+00 -1.62039845e+01 -1.56019245e+01
